09/09/2017-Stoke-Man United, O_Home:1.42091, D_Home:1.09156, O_Away:2.24232, D_Away:0.66037, Rest Home13, Rest Away13, Win :0.19, Draw :0.26
10/09/2017-Burnley-Crystal Palace, O_Home:1.51249, D_Home:1.16809, O_Away:1.36478, D_Away:1.28915, Rest Home13, Rest Away14, Win :0.51, Draw :0.27
10/09/2017-Swansea-Newcastle, O_Home:1.36479, D_Home:1.25895, O_Away:1.26537, D_Away:1.26516, Rest Home14, Rest Away14, Win :0.46, Draw :0.28
11/09/2017-West Ham-Huddersfield, O_Home:1.51957, D_Home:1.36483, O_Away:1.09595, D_Away:1.34001, Rest Home16, Rest Away16, Win :0.54, Draw :0.26
15/09/2017-Bournemouth-Brighton, O_Home:1.38958, D_Home:1.35959, O_Away:1.06001, D_Away:1.2865, Rest Home6, Rest Away6, Win :0.5, Draw :0.28
16/09/2017-Crystal Palace-Southampton, O_Home:1.37141, D_Home:1.24906, O_Away:1.41941, D_Away:1.09709, Rest Home5, Rest Away6, Win :0.39, Draw :0.29
16/09/2017-Huddersfield-Leicester, O_Home:1.06419, D_Home:1.34611, O_Away:1.60615, D_Away:1.2063, Rest Home4, Rest Away6, Win :0.29, Draw :0.28
16/09/2017-Liverpool-Burnley, O_Home:2.15504, D_Home:0.98446, O_Away:1.46753, D_Away:1.17404, Rest Home2, Rest Away5, Win :0.63, Draw :0.22
16/09/2017-Newcastle-Stoke, O_Home:1.27278, D_Home:1.23232, O_Away:1.49392, D_Away:1.11075, Rest Home5, Rest Away6, Win :0.36, Draw :0.3
16/09/2017-Tottenham-Swansea, O_Home:2.23448, D_Home:0.80039, O_Away:1.33014, D_Away:1.26633, Rest Home2, Rest Away5, Win :0.78, Draw :0.16
16/09/2017-Watford-Man City, O_Home:1.39128, D_Home:1.19926, O_Away:2.55828, D_Away:0.71079, Rest Home6, Rest Away2, Win :0.15, Draw :0.21
16/09/2017-West Brom-West Ham, O_Home:1.26616, D_Home:1.18258, O_Away:1.52625, D_Away:1.32788, Rest Home6, Rest Away4, Win :0.42, Draw :0.28
17/09/2017-Chelsea-Arsenal, O_Home:2.43792, D_Home:0.83965, O_Away:2.28518, D_Away:1.08228, Rest Home4, Rest Away2, Win :0.55, Draw :0.22
17/09/2017-Man United-Everton, O_Home:2.29228, D_Home:0.69799, O_Away:1.61645, D_Away:1.08528, Rest Home4, Rest Away2, Win :0.7, Draw :0.2
23/09/2017-Burnley-Huddersfield, O_Home:1.45592, D_Home:1.1666, O_Away:1.0657, D_Away:1.33318, Rest Home3, Rest Away3, Win :0.57, Draw :0.27
23/09/2017-Everton-Bournemouth, O_Home:1.57754, D_Home:1.15134, O_Away:1.40805, D_Away:1.36535, Rest Home2, Rest Away3, Win :0.54, Draw :0.25
23/09/2017-Leicester-Liverpool, O_Home:1.59145, D_Home:1.20794, O_Away:2.14335, D_Away:0.97564, Rest Home3, Rest Away3, Win :0.29, Draw :0.25
23/09/2017-Man City-Crystal Palace, O_Home:2.69043, D_Home:0.68698, O_Away:1.3568, D_Away:1.25206, Rest Home2, Rest Away3, Win :0.86, Draw :0.11
23/09/2017-Southampton-Man United, O_Home:1.4227, D_Home:1.08457, O_Away:2.33787, D_Away:0.69041, Rest Home7, Rest Away2, Win :0.19, Draw :0.25
23/09/2017-Stoke-Chelsea, O_Home:1.48752, D_Home:1.15468, O_Away:2.33639, D_Away:0.81826, Rest Home3, Rest Away2, Win :0.22, Draw :0.24
23/09/2017-Swansea-Watford, O_Home:1.29546, D_Home:1.21983, O_Away:1.3546, D_Away:1.27359, Rest Home3, Rest Away6, Win :0.44, Draw :0.29
